source,sample_date,analyte,data,uniqueID
BAY#211_SL,2020/08/31,COLI_E,74,00139E644FE04108821489A810D0AA9D
OCEAN#15_SL,2020/09/01,COLI_TOTAL,5475,012C756E5C2B04D033C90223C81FA39F
OCEAN#17_SL,2020/08/31,COLI_E,<10,099D69C8E528B6CA3D6619A4AAB9DAA0
OCEAN#21.1_SL,2020/08/31,ENTERO,<10,0CCA828DB4EDEC54F457CF157B8DF458
OCEAN#18_SL,2020/08/31,COLI_TOTAL,<10,0F1A34327DD00E3B338832DAF87ACFB0
OCEAN#15_SL,2020/09/01,COLI_E,256,10F64FDB53F1EA23ED1F96CAF6657434
OCEAN#21.1_SL,2020/09/28,COLI_E,<10,0002A3F8ACA516BAA981596B871154FB
BAY#301.2_SL,2020/09/29,COLI_TOTAL,602,01E0C415BFEF1C73EF668686B310342C
BAY#300.1_SL,2020/09/28,ENTERO,<10,05C9392E145F54E752447A97B3A6C393
OCEAN#18_SL,2020/08/10,COLI_E,<10,0BA47165EB8C821D20BF41C8BE42513A
BAY#211_SL,2020/08/10,COLI_E,<10,1707A8C2E1D8373E3F4AC7226B6CC1BF
OCEAN#16_SL,2020/08/10,COLI_E,<10,18F7BD44EA49762845CD4A61D151A021
OCEAN#17_SL,2020/08/31,COLI_TOTAL,20,1B52E3A126C46A307A0BD36BE3F0A6CF
OCEAN#17_SL,2020/09/28,COLI_TOTAL,134,0D3729DACC15E6663753C23B1695C1D8
OCEAN#21.1_SL,2020/08/10,COLI_E,<10,25DA9D3A98479EED52F159389E78A566
BAY#300.1_SL,2020/09/28,COLI_TOTAL,1376,16BCF952B70EA82CDA802CEB2AD51140
OCEAN#21.1_SL,2020/08/10,ENTERO,<10,2F9DF24454FB54E00763D8E5FAFE6485
OCEAN#19_SL,2020/08/31,COLI_E,<10,21D7E5E98C04E7B31C917BCFE3120243
OCEAN#16_SL,2020/09/28,COLI_E,20,17D25331DBAFB0C481993E68FE4BBB36
BAY#320_SL,2020/08/10,ENTERO,<10,3503BCB0E556400EC0918658328FD2D1
OCEAN#15EAST_SL,2020/08/10,ENTERO,<10,39178A2A45C78ABF6CBBEB96D19B69BD
BAY#320_SL,2020/09/28,COLI_E,160,17D571FE6FD78BA23B9A8CE7FAD57B1F
BAY#202.5_SL,2020/08/31,ENTERO,<10,2E61DDBF022FD43B877FC21F0BE75849
BAY#202.4_SL,2020/08/31,COLI_E,63,2EC5259EAE8844AB42BD5EF53369ED16
OCEAN#18_SL,2020/08/31,COLI_E,<10,347CCCFED2F33A58CF3BC73807613941
OCEAN#15_SL,2020/08/31,COLI_E,41,3B9307C06AE3A53F407E1F23DD7326A3
OCEAN#16_SL,2020/08/10,ENTERO,<10,3C43B703932DA114B1DC5A7D73151A9E
BAY#300.1_SL,2020/08/10,COLI_E,62,42088A57A98E1A2956E6872A3D35E3E7
OCEAN#19_SL,2020/09/28,COLI_E,10,19557C056CB2EF5C0F40FAB9FB7D708E
BAY#211_SL,2020/08/31,COLI_TOTAL,173,43CD91C6BA4CC6246D986BB27D859B1A
OCEAN#19_SL,2020/08/10,COLI_TOTAL,10,4719C869EB0295CE9F6CC20AFDC51D6B
BAY#320_SL,2020/09/28,ENTERO,10,1C7D7FF3576054ACDA4217558E6BB259
BAY#211_SL,2020/09/28,COLI_E,10,24D8FE2E3C03E2C0E3C19C1A66CBA3D9
OCEAN#15EAST_SL,2020/09/02,COLI_TOTAL,75,4808A7546F023BE220FF68EC99DFD4BA
OCEAN#21.1_SL,2020/09/28,ENTERO,<10,2988F1E92B66340123754801EE774A24
OCEAN#15_SL,2020/09/02,ENTERO,96,4CEF9AD0C4C6FA5185264AEF47545862
OCEAN#18_SL,2020/09/28,ENTERO,<10,3393090BFA2E1151B120B46FB83BEE3E
BAY#202.4_SL,2020/08/10,ENTERO,<10,4862D43FE635DBD2D4AB2F1B4834EF5D
OCEAN#16_SL,2020/08/31,COLI_TOTAL,52,515407C8CC01BE0EEF384D7E5881AC41
OCEAN#15_SL,2020/08/10,ENTERO,<10,49DDC92DE0D6D33B87488643DC4AF1B5
BAY#301.1_SL,2020/09/28,COLI_E,17329,3494D4064EF580ACB774E102B669B2F6
BAY#220_SL,2020/08/10,ENTERO,<10,4B56D05489535163529AEE50935895F4
BAY#301.1_SL,2020/09/28,COLI_TOTAL,>24196,3AA0BF6BE140493D6E09E50B8DDA5D94
BAY#300.1_SL,2020/08/10,ENTERO,<10,4D70CEE0E934465F12144CD63D39260F
OCEAN#15EAST_SL,2020/08/31,COLI_E,<10,523AD0D4975E739A204E96CB1B4E7A1D
OCEAN#18_SL,2020/08/10,COLI_TOTAL,199,51065F025FCBB9C1B5C9DEE0311FB524
BAY#202.4_SL,2020/09/28,COLI_E,97,3C11C1FB922CF41EA95194029CBB0F02
BAY#301.1_SL,2020/09/29,COLI_TOTAL,7701,456DA1A8322B820E08D96ADA1C0BEAA8
BAY#320_SL,2020/08/10,COLI_E,<10,5A2119D9BD0E982D6E7DEB82DAE2A96B
OCEAN#15EAST_SL,2020/09/02,ENTERO,31,5632F0232B5144B543ABBDEB51F789C9
OCEAN#15_SL,2020/09/28,COLI_E,384,4B716AD6CAE93D339EA9A7E597BCD700
